Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SOL-USD,SOL-USD,SOL-USD,SOL-USD,SOL-USD,SOL-USD
Date,,,,,,
2024-01-01,109.50868225097656,109.50868225097656,109.50868225097656,101.51280975341797,101.51280975341797,2157671990
2024-01-02,106.61122131347656,106.61122131347656,116.88249206542969,106.38898468017578,109.54906463623047,3782057553
2024-01-03,98.59443664550781,98.59443664550781,109.84809112548828,92.92366790771484,106.61653137207031,5472216595
2024-01-04,105.0775375366211,105.0775375366211,107.98246765136719,97.10832977294922,98.58697509765625,3272723247
2024-01-05,99.97879028320312,99.97879028320312,105.23542785644531,95.9427261352539,105.05200958251953,3022127826
2024-01-06,93.85771942138672,93.85771942138672,100.03740692138672,92.02278900146484,99.98799133300781,2235902092
2024-01-07,89.2763442993164,89.2763442993164,96.69239807128906,88.22345733642578,93.8603515625,2288061692
2024-01-08,97.79044342041016,97.79044342041016,99.76187133789062,85.64669799804688,89.2781753540039,4152448360
2024-01-09,99.40918731689453,99.40918731689453,103.7961654663086,95.89379119873047,97.81603240966797,4070131683
2024-01-10,102.03302001953125,102.03302001953125,105.0823745727539,92.56326293945312,99.38423919677734,4216429514
2024-01-11,99.90943908691406,99.90943908691406,106.93573760986328,98.4124984741211,102.10365295410156,4174026719
2024-01-12,91.72090911865234,91.72090911865234,100.2544937133789,88.30984497070312,99.91187286376953,2868799888
2024-01-13,95.73004913330078,95.73004913330078,96.91764831542969,89.7544937133789,91.7597427368164,1880329065
2024-01-14,94.13314056396484,94.13314056396484,102.173583984375,93.89056396484375,95.73265075683594,2736734725
2024-01-15,94.49022674560547,94.49022674560547,96.82123565673828,93.2411117553711,94.03654479980469,1755858499
2024-01-16,97.62691497802734,97.62691497802734,98.59530639648438,94.39668273925781,94.43834686279297,1806576879
2024-01-17,102.0635986328125,102.0635986328125,102.4337387084961,97.05516052246094,97.61580657958984,3220344763
2024-01-18,94.2509536743164,94.2509536743164,102.92314147949219,92.14057922363281,102.02949523925781,2684524713
